location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
US,2022-12-17,0,2022-12-17,wk inc flu hosp,median,NA,23951
US,2022-12-17,1,2022-12-24,wk inc flu hosp,median,NA,23951
US,2022-12-17,2,2022-12-31,wk inc flu hosp,median,NA,23951
01,2022-12-17,0,2022-12-17,wk inc flu hosp,median,NA,233
01,2022-12-17,1,2022-12-24,wk inc flu hosp,median,NA,233
01,2022-12-17,2,2022-12-31,wk inc flu hosp,median,NA,233
02,2022-12-17,0,2022-12-17,wk inc flu hosp,median,NA,83
02,2022-12-17,1,2022-12-24,wk inc flu hosp,median,NA,83
02,2022-12-17,2,2022-12-31,wk inc flu hosp,median,NA,83
04,2022-12-17,0,2022-12-17,wk inc flu hosp,median,NA,781
04,2022-12-17,1,2022-12-24,wk inc flu hosp,median,NA,781
04,2022-12-17,2,2022-12-31,wk inc flu hosp,median,NA,781
05,2022-12-17,0,2022-12-17,wk inc flu hosp,median,NA,313
05,2022-12-17,1,2022-12-24,wk inc flu hosp,median,NA,313
05,2022-12-17,2,2022-12-31,wk inc flu hosp,median,NA,313
01,2022-12-17,0,2022-12-17,wk inc flu hosp,mean,NA,233.09430434282984
01,2022-12-17,1,2022-12-24,wk inc flu hosp,mean,NA,232.82057584765903
01,2022-12-17,2,2022-12-31,wk inc flu hosp,mean,NA,233.04422886850327
02,2022-12-17,0,2022-12-17,wk inc flu hosp,mean,NA,82.97529513899252
02,2022-12-17,1,2022-12-24,wk inc flu hosp,mean,NA,83.03050082754649
02,2022-12-17,2,2022-12-31,wk inc flu hosp,mean,NA,82.99459079844269
04,2022-12-17,0,2022-12-17,wk inc flu hosp,mean,NA,780.9159020945281
04,2022-12-17,1,2022-12-24,wk inc flu hosp,mean,NA,780.7668645676583
04,2022-12-17,2,2022-12-31,wk inc flu hosp,mean,NA,780.628038504643
05,2022-12-17,0,2022-12-17,wk inc flu hosp,mean,NA,312.91268528930414
05,2022-12-17,1,2022-12-24,wk inc flu hosp,mean,NA,313.07348915428753
05,2022-12-17,2,2022-12-31,wk inc flu hosp,mean,NA,313.08872567017863
US,2022-12-17,0,2022-12-17,wk inc flu hosp,mean,NA,23953.461907427267
US,2022-12-17,1,2022-12-24,wk inc flu hosp,mean,NA,23957.489983200765
US,2022-12-17,2,2022-12-31,wk inc flu hosp,mean,NA,23958.59520900213
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,1,267
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,2,229
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,3,270
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,4,335
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,5,249
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,6,146
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,7,236
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,8,215
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,9,248
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,10,91
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,11,161
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,12,183
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,13,243
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,14,238
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,15,240
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,16,185
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,17,222
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,18,237
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,19,237
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,20,198
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,21,278
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,22,235
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,23,101
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,24,286
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,25,225
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,26,353
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,27,235
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,28,241
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,29,228
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,30,239
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,31,234
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,32,131
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,33,238
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,34,179
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,35,221
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,36,228
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,37,100
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,38,228
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,39,161
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,40,246
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,41,224
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,42,245
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,43,114
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,44,244
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,45,229
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,46,233
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,47,253
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,48,228
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,49,227
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,50,172
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,51,231
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,52,229
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,53,226
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,54,223
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,55,245
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,56,174
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,57,238
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,58,237
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,59,301
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,60,231
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,61,268
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,62,166
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,63,228
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,64,234
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,65,228
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,66,226
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,67,247
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,68,229
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,69,230
01,2022-12-17,0,2022-12-17,wk inc flu hosp,sample,70,244
